"_id","order_id","product_id","quantity","unit_price","discount","status_id","date_allocated","purchase_order_id","inventory_id"
"27","30","34","100.0000","14.0000","0","2",,"96","83"
"28","30","80","30.0000","3.5000","0","2",,,"63"
"29","31","7","10.0000","30.0000","0","2",,,"64"
"30","31","51","10.0000","53.0000","0","2",,,"65"
"31","31","80","10.0000","3.5000","0","2",,,"66"
"32","32","1","15.0000","18.0000","0","2",,,"67"
"33","32","43","20.0000","46.0000","0","2",,,"68"
"34","33","19","30.0000","9.2000","0","2",,"97","81"
"35","34","19","20.0000","9.2000","0","2",,,"69"
"36","35","48","10.0000","12.7500","0","2",,,"70"
"37","36","41","200.0000","9.6500","0","2",,"98","79"
"38","37","8","17.0000","40.0000","0","2",,,"71"
"39","38","43","300.0000","46.0000","0","2",,"99","77"
"40","39","48","100.0000","12.7500","0","2",,"100","75"
"41","40","81","200.0000","2.9900","0","2",,"101","73"
"42","41","43","300.0000","46.0000","0","1",,"102","104"
"43","42","6","10.0000","25.0000","0","2",,,"84"
"44","42","4","10.0000","22.0000","0","2",,,"85"
"45","42","19","10.0000","9.2000","0","2",,"103","110"
"46","43","80","20.0000","3.5000","0","1",,,"86"
"47","43","81","50.0000","2.9900","0","1",,,"87"
"48","44","1","25.0000","18.0000","0","1",,,"88"
"49","44","43","25.0000","46.0000","0","1",,,"89"
"50","44","81","25.0000","2.9900","0","1",,,"90"
"51","45","41","50.0000","9.6500","0","2",,"104","116"
"52","45","40","50.0000","18.4000","0","2",,,"91"
"53","46","57","100.0000","19.5000","0","2",,"105","101"
"54","46","72","50.0000","34.8000","0","2",,"106","114"
"55","47","34","300.0000","14.0000","0","2",,"107","108"
"56","48","8","25.0000","40.0000","0","2",,"108","106"
"57","48","19","25.0000","9.2000","0","2",,"109","112"
"59","50","21","20.0000","10.0000","0","2",,,"92"
"60","51","5","25.0000","21.3500","0","2",,,"93"
"61","51","41","30.0000","9.6500","0","2",,,"94"
"62","51","40","30.0000","18.4000","0","2",,,"95"
"66","56","48","10.0000","12.7500","0","2",,"111","99"
"67","55","34","87.0000","14.0000","0","2",,,"117"
"68","79","7","30.0000","30.0000","0","2",,,"119"
"69","79","51","30.0000","53.0000","0","2",,,"118"
"70","78","17","40.0000","39.0000","0","2",,,"120"
"71","77","6","90.0000","25.0000","0","2",,,"121"
"72","76","4","30.0000","22.0000","0","2",,,"122"
"73","75","48","40.0000","12.7500","0","2",,,"123"
"74","74","48","40.0000","12.7500","0","2",,,"124"
"75","73","41","10.0000","9.6500","0","2",,,"125"
"76","72","43","5.0000","46.0000","0","2",,,"126"
"77","71","40","40.0000","18.4000","0","2",,,"127"
"78","70","8","20.0000","40.0000","0","2",,,"128"
"79","69","80","15.0000","3.5000","0","2",,,"129"
"80","67","74","20.0000","10.0000","0","2",,,"130"
"81","60","72","40.0000","34.8000","0","2",,,"131"
"82","63","3","50.0000","10.0000","0","2",,,"132"
"83","63","8","3.0000","40.0000","0","2",,,"133"
"84","58","20","40.0000","81.0000","0","2",,,"134"
"85","58","52","40.0000","7.0000","0","2",,,"135"
"86","80","56","10.0000","38.0000","0","1",,,"136"
"90","81","81","0.0000","2.9900","0","5",,,
"91","81","56","0.0000","38.0000","0","0",,,
